,Hour,Geothermal,Biomass,Biogas,Small Hydro,Wind,Solar,Date
0,1,1056,323,170,250,632,0,2010-04-20 00:00:00
1,2,1055,318,169,245,632,0,2010-04-20 01:00:00
2,3,1058,316,168,240,677,0,2010-04-20 02:00:00
3,4,1063,318,168,238,923,0,2010-04-20 03:00:00
4,5,1066,318,168,247,875,0,2010-04-20 04:00:00
5,6,1066,317,169,247,998,0,2010-04-20 05:00:00
6,7,1066,312,166,244,763,0,2010-04-20 06:00:00
7,8,1067,313,167,269,544,1,2010-04-20 07:00:00
8,9,1065,315,169,280,572,191,2010-04-20 08:00:00
9,10,1063,316,167,294,721,299,2010-04-20 09:00:00
10,11,1063,314,169,294,658,278,2010-04-20 10:00:00
11,12,1066,317,171,271,772,198,2010-04-20 11:00:00
12,13,1068,324,171,270,1012,126,2010-04-20 12:00:00
13,14,1066,322,169,282,1350,139,2010-04-20 13:00:00
14,15,1067,326,170,292,1489,111,2010-04-20 14:00:00
15,16,1070,324,160,294,1475,39,2010-04-20 15:00:00
16,17,1071,320,147,295,1518,25,2010-04-20 16:00:00
17,18,1070,320,148,297,1511,3,2010-04-20 17:00:00
18,19,1070,314,153,302,1356,0,2010-04-20 18:00:00
19,20,1072,299,151,305,1083,0,2010-04-20 19:00:00
20,21,1072,300,124,307,1126,0,2010-04-20 20:00:00
21,22,1071,277,123,297,1024,0,2010-04-20 21:00:00
22,23,1071,284,126,266,1017,0,2010-04-20 22:00:00
23,24,1072,284,140,245,1018,0,2010-04-20 23:00:00
24,1,1072,285,145,253,1055,0,2010-04-21 00:00:00
25,2,1072,280,142,253,938,0,2010-04-21 01:00:00
26,3,1072,277,153,254,864,0,2010-04-21 02:00:00
27,4,1073,275,167,255,828,0,2010-04-21 03:00:00
28,5,1074,282,164,263,843,0,2010-04-21 04:00:00
29,6,1074,286,163,274,850,0,2010-04-21 05:00:00
30,7,1075,280,163,298,964,0,2010-04-21 06:00:00
31,8,1075,280,166,303,1130,3,2010-04-21 07:00:00
32,9,1073,279,164,303,1107,85,2010-04-21 08:00:00
33,10,1072,275,162,304,968,30,2010-04-21 09:00:00
34,11,1068,275,165,303,886,34,2010-04-21 10:00:00
35,12,1067,282,166,300,920,67,2010-04-21 11:00:00
36,13,1071,284,168,298,773,97,2010-04-21 12:00:00
37,14,1072,289,169,309,741,28,2010-04-21 13:00:00
38,15,1079,289,169,311,701,27,2010-04-21 14:00:00
39,16,1070,290,169,312,674,23,2010-04-21 15:00:00
40,17,1070,293,170,311,644,17,2010-04-21 16:00:00
41,18,1069,292,173,306,578,3,2010-04-21 17:00:00
42,19,1069,292,174,312,641,0,2010-04-21 18:00:00
43,20,1069,290,175,313,871,0,2010-04-21 19:00:00
44,21,1071,282,178,313,889,0,2010-04-21 20:00:00
45,22,1070,283,177,300,990,0,2010-04-21 21:00:00
46,23,1071,280,177,296,1071,0,2010-04-21 22:00:00
47,24,1083,277,177,270,916,0,2010-04-21 23:00:00
48,1,1096,278,177,252,897,0,2010-04-22 00:00:00
49,2,1096,258,177,252,969,0,2010-04-22 01:00:00
50,3,1097,258,176,253,822,0,2010-04-22 02:00:00
51,4,1097,259,175,252,762,0,2010-04-22 03:00:00
52,5,1096,274,175,262,629,0,2010-04-22 04:00:00
53,6,1097,258,175,275,535,0,2010-04-22 05:00:00
54,7,1098,257,175,293,455,0,2010-04-22 06:00:00
55,8,1097,249,175,297,404,4,2010-04-22 07:00:00
56,9,1095,256,169,295,275,15,2010-04-22 08:00:00
57,10,1094,262,169,307,125,72,2010-04-22 09:00:00
58,11,1091,270,170,317,179,137,2010-04-22 10:00:00
59,12,1088,276,169,307,166,117,2010-04-22 11:00:00
60,13,1086,293,168,300,135,36,2010-04-22 12:00:00
61,14,1078,305,170,300,152,26,2010-04-22 13:00:00
62,15,1028,316,171,295,139,12,2010-04-22 14:00:00
63,16,1043,318,171,298,157,12,2010-04-22 15:00:00
64,17,1055,320,173,300,201,10,2010-04-22 16:00:00
65,18,1045,320,175,300,236,34,2010-04-22 17:00:00
66,19,1044,320,176,301,203,6,2010-04-22 18:00:00
67,20,1056,320,176,303,186,0,2010-04-22 19:00:00
68,21,1057,315,176,294,245,0,2010-04-22 20:00:00
69,22,1058,310,174,295,286,0,2010-04-22 21:00:00
70,23,1059,307,173,294,300,0,2010-04-22 22:00:00
71,24,1060,308,173,279,238,0,2010-04-22 23:00:00
72,1,1060,309,170,251,157,0,2010-04-23 00:00:00
73,2,1060,300,169,259,122,0,2010-04-23 01:00:00
74,3,1061,300,168,260,245,0,2010-04-23 02:00:00
75,4,1061,304,168,260,300,0,2010-04-23 03:00:00
76,5,1062,310,169,261,279,0,2010-04-23 04:00:00
77,6,1062,313,169,277,326,0,2010-04-23 05:00:00
78,7,1061,313,176,277,422,0,2010-04-23 06:00:00
79,8,1061,311,179,288,331,3,2010-04-23 07:00:00
80,9,1062,310,179,287,420,181,2010-04-23 08:00:00
81,10,1061,311,176,303,428,297,2010-04-23 09:00:00
82,11,1059,315,172,311,349,331,2010-04-23 10:00:00
83,12,1056,315,174,311,281,330,2010-04-23 11:00:00
84,13,1053,317,172,302,370,328,2010-04-23 12:00:00
85,14,1051,318,172,310,544,327,2010-04-23 13:00:00
86,15,1049,311,171,312,704,326,2010-04-23 14:00:00
87,16,1047,320,173,312,834,322,2010-04-23 15:00:00
88,17,1046,320,173,313,949,304,2010-04-23 16:00:00
89,18,1044,322,176,313,1089,253,2010-04-23 17:00:00
90,19,1046,329,178,314,1268,160,2010-04-23 18:00:00
91,20,1049,330,179,314,1427,69,2010-04-23 19:00:00
92,21,1055,325,178,314,1482,53,2010-04-23 20:00:00
93,22,1060,317,177,313,1419,0,2010-04-23 21:00:00
94,23,1052,295,176,313,1430,0,2010-04-23 22:00:00
95,24,1049,293,176,314,1325,0,2010-04-23 23:00:00
96,1,1047,294,176,287,1150,0,2010-04-24 00:00:00
97,2,1050,286,175,274,1161,0,2010-04-24 01:00:00
98,3,1051,287,175,273,1188,0,2010-04-24 02:00:00
99,4,1051,295,176,265,1113,0,2010-04-24 03:00:00
100,5,1050,296,176,275,987,0,2010-04-24 04:00:00
101,6,1051,302,177,269,872,0,2010-04-24 05:00:00
102,7,1052,303,177,263,786,0,2010-04-24 06:00:00
103,8,1052,303,177,276,556,11,2010-04-24 07:00:00
104,9,1053,303,178,301,353,220,2010-04-24 08:00:00
105,10,1054,299,179,305,190,327,2010-04-24 09:00:00
106,11,1053,299,179,305,86,347,2010-04-24 10:00:00
107,12,1051,299,180,306,25,348,2010-04-24 11:00:00
108,13,1048,300,181,300,38,346,2010-04-24 12:00:00
109,14,1046,300,180,305,129,346,2010-04-24 13:00:00
110,15,1044,300,180,305,271,349,2010-04-24 14:00:00
111,16,1042,300,180,306,534,346,2010-04-24 15:00:00
112,17,1044,300,180,288,751,329,2010-04-24 16:00:00
113,18,1049,303,180,288,869,276,2010-04-24 17:00:00
114,19,1048,301,179,290,909,126,2010-04-24 18:00:00
115,20,1050,300,179,295,949,0,2010-04-24 19:00:00
116,21,1053,298,179,303,1036,0,2010-04-24 20:00:00
117,22,1054,296,179,308,1076,0,2010-04-24 21:00:00
118,23,1055,291,178,308,1055,0,2010-04-24 22:00:00
119,24,1055,291,178,292,979,0,2010-04-24 23:00:00
120,1,1056,291,178,280,901,0,2010-04-25 00:00:00
